t,accel,gyro,temp
0.00,0.000,180.00,24.00
0.05,0.849,179.81,24.02
0.10,1.674,179.26,24.03
0.15,2.452,178.33,24.05
0.20,3.166,177.03,24.07
0.25,3.804,175.37,24.08
0.30,4.362,173.35,24.10
0.35,4.843,170.97,24.12
0.40,5.257,168.23,24.13
0.45,5.618,165.15,24.15
0.50,5.946,161.72,24.17
0.55,6.259,157.96,24.18
0.60,6.576,153.88,24.20
0.65,6.912,149.48,24.22
0.70,7.276,144.77,24.23
0.75,7.671,139.76,24.25
0.80,8.093,134.46,24.27
0.85,8.530,128.88,24.28
0.90,8.966,123.04,24.30
0.95,9.380,116.94,24.32
1.00,9.749,110.60,24.33
1.05,10.052,104.04,24.35
1.10,10.267,97.25,24.37
1.15,10.383,90.27,24.38
1.20,10.389,83.10,24.40
1.25,10.287,75.76,24.42
1.30,10.083,68.26,24.43
1.35,9.791,60.63,24.45
1.40,9.429,52.86,24.47
1.45,9.019,44.99,24.48
1.50,8.585,37.02,24.50
1.55,8.146,28.98,24.51
1.60,7.722,20.88,24.53
1.65,7.323,12.73,24.55
1.70,6.955,4.56,24.56
1.75,6.616,-3.62,24.58
1.80,6.298,-11.79,24.60
1.85,5.985,-19.94,24.61
1.90,5.660,-28.05,24.63
1.95,5.304,-36.10,24.65
2.00,4.898,-44.08,24.66
2.05,4.426,-51.96,24.68
2.10,3.877,-59.74,24.70
2.15,3.249,-67.39,24.71
2.20,2.544,-74.91,24.73
2.25,1.773,-82.27,24.74
2.30,0.953,-89.46,24.76
2.35,0.106,-96.46,24.78
2.40,-0.745,-103.27,24.79
2.45,-1.574,-109.86,24.81
2.50,-2.359,-116.22,24.83
2.55,-3.081,-122.35,24.84
2.60,-3.729,-128.22,24.86
2.65,-4.297,-133.83,24.87
2.70,-4.787,-139.16,24.89
2.75,-5.209,-144.21,24.91
2.80,-5.576,-148.95,24.92
2.85,-5.906,-153.39,24.94
2.90,-6.220,-157.51,24.95
2.95,-6.536,-161.31,24.97
3.00,-6.869,-164.77,24.99
3.05,-7.229,-167.89,25.00
3.10,-7.621,-170.67,25.02
3.15,-8.039,-173.09,25.03
3.20,-8.476,-175.16,25.05
3.25,-8.913,-176.86,25.07
3.30,-9.331,-178.20,25.08
3.35,-9.707,-179.17,25.10
3.40,-10.019,-179.77,25.11
3.45,-10.246,-180.00,25.13
3.50,-10.374,-179.85,25.15
3.55,-10.395,-179.34,25.16
3.60,-10.306,-178.45,25.18
3.65,-10.114,-177.20,25.19
3.70,-9.831,-175.58,25.21
3.75,-9.477,-173.60,25.22
3.80,-9.072,-171.26,25.24
3.85,-8.639,-168.56,25.26
3.90,-8.200,-165.52,25.27
3.95,-7.773,-162.13,25.29
4.00,-7.371,-158.41,25.30
4.05,-6.999,-154.37,25.32
4.10,-6.657,-150.00,25.33
4.15,-6.336,-145.32,25.35
4.20,-6.024,-140.35,25.36
4.25,-5.702,-135.08,25.38
4.30,-5.351,-129.54,25.39
4.35,-4.951,-123.72,25.41
4.40,-4.488,-117.66,25.42
4.45,-3.950,-111.34,25.44
4.50,-3.331,-104.80,25.45
4.55,-2.635,-98.05,25.47
4.60,-1.872,-91.08,25.49
4.65,-1.057,-83.94,25.50
4.70,-0.211,-76.61,25.52
4.75,0.640,-69.13,25.53
